from_id,to_id,play_hour
1,1,273.0
1,2,87.0
1,3,14.9
1,4,12.1
1,5,8.9
1,6,8.5
1,7,8.1
1,8,7.5
1,9,3.3
1,10,2.8
1,11,2.5
1,12,2.0
1,13,1.4
1,14,1.3
1,15,1.3
1,16,0.8
1,17,0.8
1,18,0.6
1,19,0.5
1,20,0.5
1,21,0.5
1,22,0.5
1,23,0.5
1,24,0.4
1,25,0.1
1,26,0.1
2,22,2.3
3,27,238.0
3,28,84.0
3,1,58.0
3,29,22.0
3,30,13.8
3,31,10.2
3,32,7.8
3,33,7.0
3,34,5.2
3,35,4.8
3,36,3.4
3,37,3.2
3,38,2.8
3,39,2.6
3,40,2.3
3,41,0.7
3,42,0.6
3,43,0.5
3,44,0.4
3,45,0.3
3,46,0.1
3,10,0.1
4,47,86.0
4,48,72.0
4,5,71.0
4,49,59.0
4,50,54.0
4,51,50.0
4,52,35.0
4,53,35.0
4,54,35.0
4,55,34.0
4,45,33.0
4,56,32.0
4,57,25.0
4,58,24.0
4,59,23.0
4,60,23.0
4,61,23.0
4,62,22.0
4,63,21.0
4,64,21.0
4,65,19.6
4,66,18.5
4,67,18.3
4,68,16.9
4,69,14.3
4,70,13.7
4,71,13.4
4,72,12.5
4,73,12.2
4,74,11.5
4,75,11.2
4,76,11.1
4,77,11.0
4,78,10.2
4,79,10.1
4,80,9.8
4,81,9.8
4,82,9.7
4,83,9.7
4,38,9.6
4,84,9.0
4,85,8.9
4,86,8.6
4,87,8.4
4,88,8.3
4,89,7.8
4,90,7.6
4,4,7.5
4,91,7.3
4,92,7.2
4,93,7.0
4,94,6.7
4,95,6.6
4,96,6.4
4,97,6.4
4,98,6.2
4,99,6.0
4,29,5.9
4,100,5.7
4,101,5.6
4,102,5.6
4,103,5.5
4,104,5.5
4,105,5.5
4,106,5.2
4,107,4.9
4,108,4.4
4,109,4.3
4,110,4.2
4,111,4.0
4,112,4.0
4,113,4.0
4,114,3.7
4,115,3.4
4,116,3.3
4,117,3.2
4,118,3.0
4,119,2.9
4,120,2.8
4,121,2.8
4,122,2.8
4,123,2.7
4,124,2.6
4,125,2.5
4,126,2.5
4,127,2.4
4,128,2.2
4,129,2.2
4,130,2.0
4,131,1.9
4,132,1.9
4,133,1.9
4,134,1.8
4,135,1.8
4,136,1.8
4,137,1.7
4,9,1.7
4,138,1.6
4,18,1.5
4,139,1.4
4,140,1.4
4,141,1.3
4,142,1.3
4,30,1.3
4,143,1.1
4,144,1.1
4,145,1.1
4,146,1.1
4,147,1.0
4,148,1.0
4,149,0.9
4,150,0.9
4,151,0.9
4,152,0.9
4,153,0.9
4,154,0.8
4,155,0.8
4,156,0.8
4,157,0.8
4,158,0.8
4,23,0.8
4,159,0.8
4,160,0.8
4,161,0.7
4,162,0.7
4,163,0.7
4,164,0.7
4,165,0.6
4,166,0.6
4,167,0.6
4,168,0.6
4,169,0.6
4,170,0.6
4,171,0.6
4,34,0.6
4,172,0.5
4,173,0.5
4,174,0.5
4,175,0.5
4,176,0.5
4,177,0.5
4,3,0.5
4,178,0.5
4,179,0.5
4,180,0.5
4,181,0.5
4,182,0.5
4,183,0.4
4,184,0.4
4,185,0.4
4,186,0.4
4,187,0.4
4,188,0.4
4,189,0.4
4,190,0.4
4,191,0.4
4,192,0.4
4,193,0.4
4,194,0.4
4,195,0.4
4,196,0.4
4,197,0.3
4,198,0.3
4,199,0.3
4,200,0.3
4,201,0.3
4,202,0.3
4,203,0.3
4,204,0.3
4,205,0.3
4,206,0.3
4,207,0.2
4,208,0.2
4,209,0.2
4,210,0.2
4,211,0.2
4,212,0.2
4,213,0.2
4,214,0.2
4,215,0.2
4,216,0.2
4,217,0.2
4,218,0.2
4,219,0.2
4,220,0.2
4,221,0.2
4,222,0.2
4,223,0.2
4,224,0.1
4,225,0.1
4,44,0.1
4,226,0.1
4,227,0.1
4,228,0.1
4,229,0.1
4,230,0.1
4,231,0.1
5,10,13.0
6,232,92.0
6,233,47.0
6,234,22.0
6,235,10.3
6,236,6.8
6,237,3.1
6,238,1.1
7,22,9.1
8,22,0.5
9,10,42.0
10,22,3.4
11,239,42.0
12,240,29.0
12,10,10.1
12,241,5.6
13,242,1.0
14,22,14.8
14,11,8.8
14,243,0.9
